ComDown (comment downloader)
 comments
 CTaCRxXIMga
 {\"bifilter_token\": \"KDcBAgDIAP________________________________8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==\", \"tao_cursor\": \"QVFDMWNaTGRhWnBXREJlcVlVOG5GdUNQRFFISDZKSWxKSzJ3XzFEcUhZS1ZJUnBTRGllMUhxS2VwTVRGVjkxUWRRbVhyMEFYZGc5UU1ua0ZOemxDOEJ0Tw==\"}
 https://instagram.fevn1-1.fna.fbcdn.net/v/t51.2885-15/e35/241182299_551932516141118_5133750298734709642_n.jpg?_nc_ht=instagram.fevn1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=F9aSA65HMVQAX-1G2BX&edm=AABBvjUBAAAA&ccb=7-4&oh=1677ff19ce09dfe93d40e151ebd1a446&oe=6138890C&_nc_sid=83d603
 Username,Comment Text,Number of likes,Number of replys ,Date created
 r.___.r19,😍,1,2,1630774098
 fatemeh.ghasemi.sep,❤️❤️❤️❤️,1,0,1630776746
 sodiii1371,@faezeh_nazari4149 @hakimeh_4974 @maryam._.sotude @fereshteh_1418 @goli___baft,3,0,1630774844
 sodiii1371,@zahra_ab308,2,0,1630775714
 13_ahoo_79,@m_ta200,2,2,1630777178
 mozhgan.noshin.rad,@zahra_afifi_,2,0,1630776107
 alireza_mirahmadi97,@ali_.j.1278,2,0,1630775811
 alireza_mirahmadi97,@amirhosin_mirahmadi,0,2,1630776600
 alireza_mirahmadi97,@alirezaasgharitiami,2,0,1630775661
 alireza_mirahmadi97,@alisalehi_mohammadshahr,2,0,1630775816
 alireza_mirahmadi97,@m.m.a.09oy,2,0,1630775969
 alireza_mirahmadi97,@mohammad.var_74,2,0,1630776049
 esmaeil_varzaneh0913,@mirahmadi00_,0,1,1630774974
 maryam_a.v71,@m.s_fakhr,1,0,1630777687
 maryam_a.v71,@marzieh___81,1,0,1630777368
 maryam_a.v71,@marzieh___81,1,0,1630776681
 nafiseh_fdz,@zohre_fdz,1,0,1630776606
 nafiseh_fdz,@zahra_fra,1,0,1630776622
 sodiii1371,@sajad.z.0910,1,0,1630778404
 sodiii1371,@_farhad.ch,1,0,1630777283
 alireza_mirahmadi97,@radio_rodasht1,2,0,1630776157
 maryam_a.v71,@naz.aninzahra99,1,0,1630778382
 sodiii1371,@hamidreza_rafieian_naeini,1,0,1630777063
 fatemeh.ghasemi.sep,@fatemeh_miriiiiii,1,0,1630777075
 sodiii1371,@_narges_mp78,1,0,1630778096
 sodiii1371,@m.soltani1941,1,0,1630776841
 alireza_mirahmadi97,@miladeblis5704,1,2,1630775982
 fateme_sadat1881,@badkonak.amadeh,1,1,1630777396
 alireza_mirahmadi97,@n_r_nima80,2,0,1630776163
 sh.adi4666,@nila.pormehdi,1,1,1630775328
 sodiii1371,@ghazaliii_j,1,0,1630776116
 alireza_mirahmadi97,@akaev_a.1,1,0,1630775799
 alireza_mirahmadi97,@ali.75.40,1,0,1630775838
 alireza_mirahmadi97,@_mehri.78,1,0,1630775865
 alireza_mirahmadi97,@armin.3321,1,0,1630775673
 alireza_mirahmadi97,@khalili.9090,1,0,1630775860
 alireza_mirahmadi97,@maryam.74424,1,0,1630776062
 alireza_mirahmadi97,@dokhi_rigi.1374,1,0,1630775962
 alireza_mirahmadi97,@mohamadreza.6750,1,0,1630776078
 alireza_mirahmadi97,@ms.ee.ms,1,0,1630776003
 alireza_mirahmadi97,@ms.ee.ms,1,0,1630776009
 alireza_mirahmadi97,@_saranrz_,1,0,1630776245
 alireza_mirahmadi97,@khastehfv,1,0,1630775852
 alireza_mirahmadi97,@abid___jii,1,0,1630776085
 alireza_mirahmadi97,@mahta.cake,1,0,1630776090
 alireza_mirahmadi97,@abid___jii,1,0,1630775678
 alireza_mirahmadi97,@abid___jii,1,0,1630775682
 alireza_mirahmadi97,@reza.kord.h,1,0,1630776128
 alireza_mirahmadi97,@clipstar.ir,1,0,1630776265
 alireza_mirahmadi97,@annavakili_,1,0,1630775940
 alireza_mirahmadi97,@draco.gameur,1,0,1630776115
 alireza_mirahmadi97,@saboor.elham,1,0,1630776250
 alireza_mirahmadi97,@monaariamehr,1,0,1630775656
 alireza_mirahmadi97,@erfan_najimi,1,0,1630775831
 alireza_mirahmadi97,@monaariamehr,1,0,1630775977
 alireza_mirahmadi97,@_maede.fatemi,1,0,1630775996
 alireza_mirahmadi97,@ramin.hydrirad,1,0,1630776138
 alireza_mirahmadi97,@casadyrobertson,1,0,1630776121
 alireza_mirahmadi97,@aliasghar.kiann,1,0,1630775651
 alireza_mirahmadi97,@dj_hamidghasemi,1,0,1630775882
 alireza_mirahmadi97,@mojtabassssmmmm,1,0,1630776028
 alireza_mirahmadi97,@sahel__nazarhagig,1,0,1630776272
 alireza_mirahmadi97,@ghrb399 @mamady2030.ya,3,0,1630776230
 alireza_mirahmadi97,@saeedkazemi7008,1,1,1630776304
 alireza_mirahmadi97,@mamadi_1662,1,0,1630776036
 alireza_mirahmadi97,@its_cute_doll_555,1,0,1630775916
 alireza_mirahmadi97,@mtag3532,1,0,1630776095
 alireza_mirahmadi97,@mq2606,1,0,1630776043
 alireza_mirahmadi97,@minaxx_09046032294,1,0,1630775846
 alireza_mirahmadi97,@a_k.e.y.v.a.n_9962,1,0,1630776222
 alireza_mirahmadi97,@mhsn24562,1,0,1630775856
 alireza_mirahmadi97,@amrita6542,1,0,1630775793
 alireza_mirahmadi97,@h9wm3d,1,0,1630776215
 alireza_mirahmadi97,@king0ali8,1,0,1630776533
 alireza_mirahmadi97,@rdyh5854,1,0,1630776170
 alireza_mirahmadi97,@mehddii1234,1,0,1630775949
 alireza_mirahmadi97,@sam_an7242,1,0,1630776284
 alireza_mirahmadi97,@soheil8401,1,0,1630776289
 alireza_mirahmadi97,@maryam118768,1,0,1630775987
 alireza_mirahmadi97,@karimi71455,1,0,1630775870
 alireza_mirahmadi97,@myrahmdylyrda919,1,0,1630776108
 alireza_mirahmadi97,@gozarmovaghat22,1,0,1630775888
 alireza_mirahmadi97,@yasseryarahmadi6,1,0,1630776211
 alireza_mirahmadi97,@saaidfaridvarzane123,1,0,1630776277
 alireza_mirahmadi97,@a_s_fatemi3,1,0,1630775645
 alireza_mirahmadi97,@m_hosseini6858,1,0,1630776142
 alireza_mirahmadi97,@nafiseeh13705,1,1,1630776296
 alireza_mirahmadi97,@alireza_amini2024,1,0,1630775804
 alireza_mirahmadi97,@fateme_namdar9,1,0,1630775904
 alireza_mirahmadi97,@vahid_jamali114,1,0,1630775930
 alireza_mirahmadi97,@jav.ad2768,1,0,1630775956
 alireza_mirahmadi97,@abolgasem_merahmade52,1,0,1630775785
 alireza_mirahmadi97,@amirhossein_tahmasebi79,1,0,1630775934
 alireza_mirahmadi97,@amirhossein_tahmasebi79,1,0,1630776238
 alireza_mirahmadi97,@mahdi.m3225,1,0,1630776073
 alireza_mirahmadi97,@amir.hoseyn4335,1,0,1630775667
 alireza_mirahmadi97,@h.mirahmadi60,1,0,1630775875
 alireza_mirahmadi97,@alir.eza0066134,2,1,1630775823
 alireza_mirahmadi97,@ariyn7272,2,0,1630775640
 alireza_mirahmadi97,@mahdiolton1381,1,0,1630776462
 sodiii1371,@elahe.166,1,0,1630778610
 atena._.sarvari_pv,@farhadi_reyhane76,1,0,1630778928
 atena._.sarvari_pv,@spcific._.78,1,0,1630779056
 hg.6745,@hasti.mohammadi94,1,0,1630779107
 maryam_a.v71,@narges_6135,1,0,1630779130
 atena._.sarvari_pv,@vahideh.saghaei,1,0,1630779205
 yalsan_baby,@monire_mohmadi,1,0,1630779228
 atena._.sarvari_pv,@mahdieh.ezd,1,0,1630779243
 atena._.sarvari_pv,@mahsa.e.gh,1,0,1630779268
 maryam_a.v71,@fatemeh.1379.rezai,1,0,1630779303
 yalsan_baby,@a.hana_handicraft,1,0,1630779388
 sodiii1371,@ali_azadegi_naeine,1,0,1630779571
 tahereh._.81,@__zeinab82,1,0,1630779897
 mrbh217,@naeimahm,1,0,1630779946
 sodiii1371,@fatemeh_miriiiiii,1,0,1630779968
 hg.6745,@drtafazoli,1,0,1630780085
 x_zi_814,@ayf1381,1,0,1630780482
 nahal._.bano,@mar_yam_shah,1,0,1630780574
 nahal._.bano,@mahdipour99y,1,0,1630780613
 mahdisbootiik,@diaweoo,1,0,1630780669
 mahdisbootiik,@bershka_torabi_nezhad,1,0,1630780797
 nahal._.bano,@lavazemghanadi.vanilaa.na,1,0,1630780828
 mahdisbootiik,@x.omid_hercules.x,1,0,1630780858
 nahal._.bano,@me.hri3263,1,1,1630780903
 maryam_a.v71,@zahra._.a._.77,0,0,1630781023
 mrbh217,@golno0sh.y.n,1,0,1630781166
 _mezon_zohi,@__zhraw_t_,1,0,1630781663
 maryam_a.v71,@maryam_esmaeili7474,1,0,1630781726
 _mezon_zohi,@mary.dehghani.moeini,1,0,1630781840
 __zhraw_t_,@ll1fatemeh3ll,2,0,1630781978
 __zhraw_t_,@ha.nna._.80,1,0,1630782035
 mahdisbootiik,@reza.tazarvi.varzane,1,0,1630782311
 hadis1400r,@14_hadis_00,1,0,1630782347
 mahdisbootiik,@ftm1380055,1,0,1630782396
 hadis1400r,@shadmehri1372,1,0,1630782544
 maryam_a.v71,@vionna.handmade,1,0,1630782563
 nahal._.bano,@samin.2016.a.m,1,0,1630782588
 nahal._.bano,@sheida.chirani,1,0,1630782674
 maryam_a.v71,@shirini_khanegi_kiyan,1,0,1630782892
 maryam_a.v71,@shirini_khanegi_kiyan,1,0,1630782904
 maryam_a.v71,@kamalimarjan,1,0,1630783203
 monir.m714,😍😍,1,0,1630783411
 mrbh217,@alisadeghi7851,1,0,1630784100
 mrbh217,@fatemeh_kabiriiii,1,0,1630784213
 mrbh217,@elaheh.madadijon,1,0,1630784309
 mrbh217,@fatemeh.m.n123,1,0,1630784347
 mrbh217,@ashpazi.mahdieh,1,0,1630784374
 mrbh217,@gh_nodoshan,1,0,1630784398
 mrbh217,@t.slmani.n,1,0,1630784438
 mrbh217,@nursing_best,1,0,1630784485
 mrbh217,@m.s.jn123,1,0,1630784513
 mrbh217,@hosseinjafarino,1,0,1630784551
 mrbh217,@mosavi7323,1,0,1630784591
 mrbh217,@maryamkhoot,1,0,1630784610
 mrbh217,@mary_salmani,1,0,1630784629
 mrbh217,@f.mosavi_j1399,1,0,1630784669
 mrbh217,@fatemeh2013p,1,0,1630784706
 tak_dookhtare_mordadi,@tak._.dokhtar._.maghror,1,0,1630784707
 mrbh217,@f.j.n8,1,0,1630784721
 mrbh217,@f.ka.sh12348,1,1,1630784747
 mrbh217,@khatoon._.official.x,2,0,1630784834
 mrbh217,@mohamad.sh.s1990,1,0,1630784854
 mrbh217,@__maryam.x___,1,0,1630784923
 mrbh217,@vmaa989,1,0,1630785011
 hg.6745,@mohammad.yazdi.24,1,0,1630785028
 mrbh217,@vahideh_a_h,1,0,1630785040
 mrbh217,@nmhdthhsdtmwswy,1,0,1630785079
 mrbh217,@mhdthhsdtmwswyndwshn,1,0,1630785102
 hg.6745,@saeed.rezai.4873,0,0,1630785136
 momeni._.781,@sa.sms808,1,0,1630785160
 atena._.sarvari_pv,@khan_neshin_naein,1,0,1630785180
 hg.6745,@sjd_7310,1,0,1630785190
 atena._.sarvari_pv,@tayebe.abn73,1,0,1630785194
 mrbh217,@r.jaffary,1,0,1630785197
 hg.6745,@sasany_bahman,1,0,1630785204
 mrbh217,@thrh4698,1,0,1630785221
 momeni._.781,@ayf1381,1,0,1630785240
 hg.6745,@banoo_s.64,1,0,1630785245
 atena._.sarvari_pv,@so.ndos8113,0,0,1630785269
 mrbh217,@fatemeh.jafari.764,1,0,1630785338
 hg.6745,@abas.il.baseri67,1,0,1630785381
 mrbh217,@bardiajalalin95,2,0,1630785382
 hg.6745,@ali_tanha_73,1,0,1630785389
 mrbh217,@mlykh2815,1,0,1630785392
 atena._.sarvari_pv,@fatemehsooheyli,1,0,1630785393
 atena._.sarvari_pv,@f.ramezaniiii1904,1,0,1630785400
 mrbh217,@lnz_138,1,0,1630785406
 hg.6745,@mr.ahmadhabibollahi,1,0,1630785410
 mrbh217,@siheyla5,1,0,1630785419
 mrbh217,@khlll17,1,0,1630785436
 mrbh217,@t.jafari92,1,0,1630785452
 mrbh217,@setais14,1,0,1630785475
 mrbh217,@s.davood.t.n,1,0,1630785485
 mrbh217,@t.jafari.n6,1,0,1630785497
 hg.6745,@17.alireza.09,1,1,1630785514
 mrbh217,@tadatadaei,1,0,1630785520
 atena._.sarvari_pv,@victoria__1991,1,0,1630785541
 hg.6745,@nasi.m6217,1,0,1630785586
 mrbh217,@mojgan.j1367,1,0,1630785592
 hg.6745,@maryamy4317,1,0,1630785600
 mrbh217,@el.ahe777,1,0,1630785639
 mrbh217,@ana_s_m2,1,0,1630785672
 mrbh217,@azam._91,1,0,1630785685
 mrbh217,@afsane_jafary_n,1,0,1630785726
 mrbh217,@afrouzeh.z.r.j.nodoushan,1,0,1630785746
 mrbh217,@sedeegheh_gafari,1,0,1630785766
 mrbh217,@dary_a1225,1,0,1630786067
 hg.6745,@queen_.x8 @q,1,0,1630786122
 maryam_a.v71,@baran1beauty,1,0,1630786187
 fatemeh.ghasemi.sep,@mozhgan.noshin.rad,1,0,1630786657
 fatemeh.ghasemi.sep,@monire_mohmadi,1,0,1630786673
 fatemeh.ghasemi.sep,@maryam_shahriaryan1377.72,1,0,1630786694
 mahdisbootiik,@narges_keyvan_esf,1,0,1630787082
 maryam_a.v71,@_leilahosinii,1,0,1630787294
 hg.6745,@hasti.mohammadi94,1,0,1630787371
 maryam_a.v71,@text_._naab,1,0,1630787563
 hg.6745,@gavkhoni_wetland,1,0,1630787584
 hg.6745,@gem_art_7,1,0,1630787593
 mahdisbootiik,@a.shafiei.66,1,0,1630787643
 mahdisbootiik,@phibrows.hajarjafari,1,0,1630787698
 hg.6745,@afsoon_77d,1,0,1630789384
 hana._2291,@mehran.babaeian1369,1,0,1630791224
